nombre,tipo,recomendacion,precio,enlace,pais,ciudad,horario
Osteria alle Testiere,Comida,Risotto de mariscos del mercado,€30 - 45,https://www.google.com/maps?q=Osteria+alle+Testiere+Venice,Italia,Venecia,12:00-14:30 / 19:00-22:30 (lun-sáb)
Pasticceria Dal Mas,Desayuno,Frittelle (dulces de Carnaval),€3 - 7,https://www.google.com/maps?q=Pasticceria+Dal+Mas+Venice,Italia,Venecia,07:30-20:00 (lun-dom)
Trattoria Antiche Carampane,Comida,Sarde in saor (sardinas marinadas),€25 - 40,https://www.google.com/maps?q=Trattoria+Antiche+Carampane+Venice,Italia,Venecia,12:30-14:30 / 19:30-22:30 (mar-sáb)
Caffè Florian,Desayuno,Chocolate caliente histórico,€8 - 15,https://www.google.com/maps?q=Caffè+Florian+Venice,Italia,Venecia,10:00-22:00 (lun-dom)
Ditta Artigianale,Desayuno,Avocado toast con huevo pochê,€9 - 14,https://www.google.com/maps?q=Ditta+Artigianale+Florence,Italia,Florencia,08:00-20:00 (lun-dom)
Trattoria Sostanza,Comida,Pollo al burro (icono florentino),€18 - 30,https://www.google.com/maps?q=Trattoria+Sostanza+Florence,Italia,Florencia,12:30-14:00 / 19:30-21:00 (lun-sáb)
Pasticceria Nencioni,Desayuno,Brigidini (galletas toscanas),€2 - 5,https://www.google.com/maps?q=Pasticceria+Nencioni+Florence,Italia,Florencia,07:30-19:30 (lun-sáb)
All'Antico Vinaio,Comida,Panini con porchetta,€6 - 12,https://www.google.com/maps?q=All'Antico+Vinaio+Florence,Italia,Florencia,10:00-23:00 (lun-dom)
Caffè Gilli,Desayuno,Cantucci con vino dulce,€5 - 10,https://www.google.com/maps?q=Caffè+Gilli+Florence,Italia,Florencia,07:30-23:30 (lun-dom)
Gran Plaza,Turismo,Plaza principal de Bruselas,€0,https://www.google.com/maps?q=Grand+Place+Brussels,Bélgica,Bruselas,24 horas
Les Galeries Royales Saint-Hubert,Turismo,Galerías comerciales históricas,€0,https://www.google.com/maps?q=Galeries+Royales+Saint-Hubert+Brussels,Bélgica,Bruselas,09:00-20:00 (lun-dom)
Atomium,Turismo,Monumento icónico de Bruselas,€16 - 22,https://www.google.com/maps?q=Atomium+Brussels,Bélgica,Bruselas,10:00-18:00 (lun-dom)
Parque del Cincuentenario,Turismo,Parque con arco del triunfo,€0,https://www.google.com/maps?q=Parc+du+Cinquantenaire+Brussels,Bélgica,Bruselas,06:00-22:00 (lun-dom)
Mini Europa,Turismo,Maquetas de monumentos europeos,€17 - 25,https://www.google.com/maps?q=Mini+Europe+Brussels,Bélgica,Bruselas,09:30-18:00 (abr-sep) / 10:00-17:00 (oct-mar)
Coliseo Romano,Turismo,Anfiteatro histórico,€16 - 24,https://www.google.com/maps?q=Colosseum+Rome,Italia,Roma,08:30-19:15 (varía por temporada)
Foro Romano,Turismo,Ruinas antiguas (incluido con Coliseo),€16 - 24,https://www.google.com/maps?q=Roman+Forum+Rome,Italia,Roma,08:30-19:15 (varía por temporada)
Museo Louvre,Turismo,Museo de arte famoso,€17 - 22,https://www.google.com/maps?q=Louvre+Museum+Paris,Francia,París,09:00-18:00 (mié-lun) / nocturno hasta 21:45 (vie)
Jardin de Tuleries,Turismo,Jardines reales,€0,https://www.google.com/maps?q=Jardin+des+Tuileries+Paris,Francia,París,07:00-21:00 (lun-dom)
Opera de Garnier,Turismo,Ópera histórica,€12 - 25,https://www.google.com/maps?q=Palais+Garnier+Paris,Francia,París,10:00-17:00 (lun-dom)
Galerias Lafayette,Turismo,Centro comercial icónico,€0,https://www.google.com/maps?q=Galeries+Lafayette+Paris,Francia,París,09:30-20:30 (lun-sáb) / 11:00-19:00 (dom)
Torre Eiffel,Turismo,Monumento emblemático,€11 - 28,https://www.google.com/maps?q=Eiffel+Tower+Paris,Francia,París,09:00-23:45 (varía por temporada)
Los Inválidos (Tumba Napoleon),Turismo,Museo militar y tumba,€14,https://www.google.com/maps?q=Les+Invalides+Paris,Francia,París,10:00-18:00 (lun-dom)
Grand Palace,Turismo,Exposiciones temporales,€10 - 15,https://www.google.com/maps?q=Grand+Palais+Paris,Francia,París,10:00-20:00 (varía por exposición)
Petit Palace,Turismo,Museo de bellas artes,€0,https://www.google.com/maps?q=Petit+Palais+Paris,Francia,París,10:00-18:00 (mar-dom)
Montmartre,Turismo,Barrio artístico,€0,https://www.google.com/maps?q=Montmartre+Paris,Francia,París,24 horas
Iglesia Sacre-Cour,Turismo,Basílica en Montmartre,€0,https://www.google.com/maps?q=Sacre-Coeur+Paris,Francia,París,06:00-22:30 (lun-dom)
Arco del Triunfo,Turismo,Vistas panorámicas,€13,https://www.google.com/maps?q=Arc+de+Triomphe+Paris,Francia,París,10:00-23:00 (abr-sep) / 10:00-22:30 (oct-mar)
Campos Eliseos,Turismo,Avenida famosa,€0,https://www.google.com/maps?q=Champs-Élysées+Paris,Francia,París,24 horas
Panteon,Turismo,Mausoleo neoclásico,€11.50,https://www.google.com/maps?q=Pantheon+Paris,Francia,París,10:00-18:30 (abr-sep) / 10:00-18:00 (oct-mar)
Saint Chapel,Turismo,Capilla gótica,€11.50,https://www.google.com/maps?q=Sainte-Chapelle+Paris,Francia,París,09:00-17:00 (oct-mar) / 09:00-19:00 (abr-sep)
Museo de Orsay,Turismo,Arte impresionista,€16,https://www.google.com/maps?q=Musée+d'Orsay+Paris,Francia,París,09:30-18:00 (mar-dom) / nocturno hasta 21:45 (jue)
Museo l'Orangerie,Turismo,Monet y arte moderno,€12.50,https://www.google.com/maps?q=Musée+de+l'Orangerie+Paris,Francia,París,09:00-18:00 (mié-lun)
Piazza Venecia,Turismo,Plaza central,€0,https://www.google.com/maps?q=Piazza+Venezia+Rome,Italia,Roma,24 horas
Fontana di Trevi,Turismo,Fuente barroca,€0,https://www.google.com/maps?q=Trevi+Fountain+Rome,Italia,Roma,24 horas
Pantheon,Turismo,Templo antiguo,€5 - 12,https://www.google.com/maps?q=Pantheon+Rome,Italia,Roma,09:00-19:00 (lun-sáb) / 09:00-18:00 (dom)
Trastevere,Turismo,Barrio pintoresco,€0,https://www.google.com/maps?q=Trastevere+Rome,Italia,Roma,24 horas
Piazza San Marcos,Turismo,Plaza principal,€0,https://www.google.com/maps?q=Piazza+San+Marco+Venice,Italia,Venecia,24 horas
Iglesia San Marcos,Turismo,Basílica bizantina,€3 - 5,https://www.google.com/maps?q=St+Mark's+Basilica+Venice,Italia,Venecia,09:30-17:00 (lun-sáb) / 14:00-16:30 (dom)
Ponte Rialto,Turismo,Puente icónico,€0,https://www.google.com/maps?q=Rialto+Bridge+Venice,Italia,Venecia,24 horas
Gondolas,Turismo,Paseo en góndola,€80 - 120,https://www.google.com/maps?q=Gondola+Rides+Venice,Italia,Venecia,08:00-20:00 (lun-dom)
Coleccion Peggy,Turismo,Arte moderno,€10 - 16,https://www.google.com/maps?q=Peggy+Guggenheim+Collection+Venice,Italia,Venecia,10:00-18:00 (mié-lun)
Guggenheim,Turismo,Arte contemporáneo,€10 - 16,https://www.google.com/maps?q=Peggy+Guggenheim+Collection+Venice,Italia,Venecia,10:00-18:00 (mié-lun)
Piazza España,Turismo,Plaza y escalinata,€0,https://www.google.com/maps?q=Piazza+di+Spagna+Rome,Italia,Roma,24 horas
Piazza Navona,Turismo,Plaza barroca,€0,https://www.google.com/maps?q=Piazza+Navona+Rome,Italia,Roma,24 horas
Piazza del Popolo,Turismo,Plaza histórica,€0,https://www.google.com/maps?q=Piazza+del+Popolo+Rome,Italia,Roma,24 horas
Gravensteen,Turismo,Impresionante castillo medieval en el centro de la ciudad,€12,https://www.google.com/maps?q=Gravensteen,Bélgica,Gante,10:00-18:00 (abr-oct) / 09:00-17:00 (nov-mar)
Graslei y Korenlei,Turismo,Encantadoras calles junto al río con arquitectura histórica,Gratis,https://www.google.com/maps?q=Graslei,Bélgica,Gante,24 horas
Museo de Bellas Artes de Gante,Turismo,Importante colección de arte flamenco,€15,https://www.google.com/maps?q=Museo+Bellas+Artes+Gante,Bélgica,Gante,09:30-17:30 (mar-dom)
Belfort de Gante,Turismo,Torre campanario con vistas panorámicas,€10,https://www.google.com/maps?q=Belfort+Gante,Bélgica,Gante,10:00-18:00 (abr-oct) / 09:00-17:00 (nov-mar)
Canal Tour Brujas,Turismo,Paseo en barco por los canales de Brujas,€12,https://www.google.com/maps?q=Canal+Tour+Brujas,Bélgica,Brujas,10:00-18:00 (mar-nov)
Markt Brujas,Turismo,Plaza principal con arquitectura medieval,Gratis,https://www.google.com/maps?q=Markt+Brujas,Bélgica,Brujas,24 horas
Basílica de la Santa Sangre,Turismo,Reliquia religiosa en capilla del siglo XII,€5,https://www.google.com/maps?q=Basílica+Santa+Sangre,Bélgica,Brujas,10:00-17:00 (lun-dom)
Museo del Chocolate,Turismo,Exhibición sobre la historia del chocolate belga,€11,https://www.google.com/maps?q=Museo+Chocolate+Brujas,Bélgica,Brujas,10:00-17:00 (lun-dom)
Galería Uffizi,Turismo,Una de las mejores colecciones de arte renacentista,€20,https://www.google.com/maps?q=Galería+Uffizi,Italia,Florencia,08:15-18:30 (mar-dom)
Catedral de Santa María del Fiore,Turismo,Icono de Florencia con cúpula de Brunelleschi,€18,https://www.google.com/maps?q=Duomo+Florencia,Italia,Florencia,10:00-17:00 (lun-sáb) / 13:30-16:45 (dom)
Jardines de Boboli,Turismo,Extensos jardines históricos detrás de Palazzo Pitti,€10,https://www.google.com/maps?q=Jardines+Boboli,Italia,Florencia,08:15-18:30 (varía por temporada)
Piazzale Michelangelo,Turismo,Plaza con las mejores vistas de Florencia,Gratis,https://www.google.com/maps?q=Piazzale+Michelangelo,Italia,Florencia,24 horas
Castillo de los Condes de Flandes,Turismo,Fortaleza medieval con vistas a la ciudad,€12,https://www.google.com/maps?q=Castillo+de+los+Condes+de+Flandes,Bélgica,Gante,10:00-18:00 (abr-oct) / 09:00-17:00 (nov-mar)
Catedral de San Bavón,Turismo,Iglesia gótica con el cuadro "La Adoración del Cordero Místico",€8,https://www.google.com/maps?q=Catedral+de+San+Bavón,Bélgica,Gante,08:30-18:00 (lun-sáb) / 13:00-18:00 (dom)
Minnewater,Turismo,Lago del amor con entorno romántico,Gratis,https://www.google.com/maps?q=Minnewater,Bélgica,Brujas,24 horas
Museo Groeninge,Turismo,Arte flamenco de los siglos XIV-XX,€14,https://www.google.com/maps?q=Museo+Groeninge,Bélgica,Brujas,09:30-17:00 (mar-dom)
Ponte Vecchio,Turismo,Puente medieval con joyerías tradicionales,Gratis,https://www.google.com/maps?q=Ponte+Vecchio,Italia,Florencia,24 horas
Palazzo Pitti,Turismo,Palacio renacentista con jardines Boboli,€16,https://www.google.com/maps?q=Palazzo+Pitti,Italia,Florencia,08:15-18:30 (mar-dom)
Neuhaus,Postre,Chocolates de lujo y pralinés,€10 - 50,https://www.google.com/maps?q=Neuhaus+Brussels,Bélgica,Bruselas,10:00-18:30 (lun-sáb)
Maison Dandoy,Postre,Waffles belgas tradicionales,€4 - 12,https://www.google.com/maps?q=Maison+Dandoy+Brussels,Bélgica,Bruselas,09:30-18:30 (lun-sáb)
Leonidas,Postre,Chocolates asequibles y deliciosos,€5 - 25,https://www.google.com/maps?q=Leonidas+Brussels,Bélgica,Bruselas,10:00-18:30 (lun-sáb)
Cédric Grolet,Postre,Pastelería francesa,€1 - 8,https://www.google.com/maps?q=Cédric+Grolet,Francia,París,08:00-20:00 (lun-dom)
Odette Paris,Postre,Macarons,,https://www.google.com/maps?q=Odette+Paris,Francia,París,11:00-19:00 (lun-dom)
La Crème de Paris,Postre,Postres parisinos,,https://www.google.com/maps?q=La+Crème+de+Paris+Paris,Francia,París,08:00-19:00 (lun-dom)
Gelateria Valentino,Postre,Helados italianos,€1 - 20,https://www.google.com/maps?q=Gelateria+Valentino+Rome,Italia,Roma,11:00-23:00 (lun-dom)
Venchi,Postre,Chocolate y helados,€1 - 20,https://www.google.com/maps?q=Venchi+Rome,Italia,Roma,10:00-22:00 (lun-dom)
Pierre Marcolini,Postre,Chocolates gourmet y macarons,€15 - 60,https://www.google.com/maps?q=Pierre+Marcolini+Brussels,Bélgica,Bruselas,10:00-19:00 (lun-sáb)
Waffle Factory,Postre,Waffles con toppings creativos,€5 - 15,https://www.google.com/maps?q=Waffle+Factory+Brussels,Bélgica,Bruselas,09:30-18:30 (lun-dom)
Mary Chocolatier,Postre,Chocolates artesanales desde 1919,€12 - 40,https://www.google.com/maps?q=Mary+Chocolatier+Brussels,Bélgica,Bruselas,10:00-18:30 (lun-sáb)
Frederic Blondeel,Postre,Chocolate bean-to-bar,€8 - 35,https://www.google.com/maps?q=Frederic+Blondeel+Brussels,Bélgica,Bruselas,10:00-18:30 (lun-sáb)
Planète Chocolat,Postre,Demostraciones de chocolate,€6 - 20,https://www.google.com/maps?q=Planète+Chocolat+Brussels,Bélgica,Bruselas,10:00-18:30 (lun-sáb)
Galler,Postre,Chocolates reales belgas,€7 - 30,https://www.google.com/maps?q=Galler+Brussels,Bélgica,Bruselas,10:00-18:30 (lun-sáb)
Godiva,Postre,Chocolates premium,€10 - 45,https://www.google.com/maps?q=Godiva+Brussels,Bélgica,Bruselas,10:00-19:00 (lun-dom)
Pompi,Postre,Tiramisú clásico,€4 - 10,https://www.google.com/maps?q=Pompi+Rome,Italia,Roma,11:00-23:30 (lun-dom)
Giolitti,Postre,Helados históricos desde 1900,€2 - 10,https://www.google.com/maps?q=Giolitti+Rome,Italia,Roma,07:00-01:30 (lun-dom)
Grom,Postre,Helados orgánicos,€3 - 9,https://www.google.com/maps?q=Grom+Rome,Italia,Roma,11:00-23:00 (lun-dom)
Pasticceria De Bellis,Postre,Cannoli sicilianos,€3 - 8,https://www.google.com/maps?q=Pasticceria+De+Bellis+Rome,Italia,Roma,07:00-20:00 (lun-sáb)
Roscioli Caffè,Postre,Croissants rellenos y pasteles,€4 - 12,https://www.google.com/maps?q=Roscioli+Caffè+Rome,Italia,Roma,07:00-20:00 (lun-sáb)
I Dolci di Nonna Vincenza,Postre,Cassata siciliana,€4 - 15,https://www.google.com/maps?q=I+Dolci+di+Nonna+Vincenza+Rome,Italia,Roma,09:00-21:00 (lun-dom)
Gelateria dei Gracchi,Postre,Helados con sabores únicos,€2.50 - 7,https://www.google.com/maps?q=Gelateria+dei+Gracchi+Rome,Italia,Roma,11:00-23:00 (lun-dom)
Pasticceria Boccione,Postre,Tarta de ricotta y cerezas,€3 - 6,https://www.google.com/maps?q=Pasticceria+Boccione+Rome,Italia,Roma,08:00-20:00 (lun-sáb)
Susanna e Sorella,Postre,Panna cotta y profiteroles,€5 - 12,https://www.google.com/maps?q=Susanna+e+Sorella+Venice,Italia,Venecia,10:00-20:00 (lun-dom)
Pasticceria Tonolo,Postre,Bomboloni (donas venecianas),€1.50 - 5,https://www.google.com/maps?q=Pasticceria+Tonolo+Venice,Italia,Venecia,07:30-20:00 (mar-dom)
Gelateria Alaska,Postre,Helados artesanales con sabores locales,€2 - 7,https://www.google.com/maps?q=Gelateria+Alaska+Venice,Italia,Venecia,12:00-20:00 (lun-dom)
Pasticceria Rizzardini,Postre,Frittelle venecianas (carnaval),€1.50 - 4,https://www.google.com/maps?q=Pasticceria+Rizzardini+Venice,Italia,Venecia,08:00-20:00 (lun-sáb)
Gelateria Nico,Postre,Gianduiotto (helado con avellanas),€3 - 8,https://www.google.com/maps?q=Gelateria+Nico+Venice,Italia,Venecia,09:00-20:00 (lun-dom)
Pasticceria Marchini,Postre,Baicoli (galletas venecianas),€5 - 15,https://www.google.com/maps?q=Pasticceria+Marchini+Venice,Italia,Venecia,08:00-20:00 (lun-sáb)
Gelateria La Romana,Postre,Helado cremoso con cobertura de chocolate,€2.50 - 7,https://www.google.com/maps?q=Gelateria+La+Romana+Florence,Italia,Florencia,11:00-23:00 (lun-dom)
Pasticceria Sieni,Postre,Cantucci toscanos,€4 - 12,https://www.google.com/maps?q=Pasticceria+Sieni+Florence,Italia,Florencia,08:00-20:00 (lun-sáb)
Gelateria dei Neri,Postre,Helados intensos y cremosos,€2 - 6,https://www.google.com/maps?q=Gelateria+dei+Neri+Florence,Italia,Florencia,11:00-23:00 (lun-dom)
Pasticceria Robiglio,Postre,Buche de Noël y pasteles finos,€4 - 15,https://www.google.com/maps?q=Pasticceria+Robiglio+Florence,Italia,Florencia,08:00-20:00 (lun-sáb)
Gelateria Santa Trinita,Postre,Helado de queso con peras,€3 - 7,https://www.google.com/maps?q=Gelateria+Santa+Trinita+Florence,Italia,Florencia,11:00-23:00 (lun-dom)
Pierre Hermé,Postre,Macarons innovadores (especialmente Rosa-Isphahan),€2 - 8,https://www.google.com/maps?q=Pierre+Hermé+Paris,Francia,París,10:00-19:00 (lun-sab) / 10:00-18:00 (dom)
Ladurée,Postre,Macarons clásicos y pasteles,€3 - 10,https://www.google.com/maps?q=Ladurée+Paris,Francia,París,08:30-19:30 (lun-dom)
Des Gâteaux et du Pain,Postre,Pasteles de Claire Damon,€5 - 15,https://www.google.com/maps?q=Des+Gâteaux+et+du+Pain+Paris,Francia,París,07:00-20:00 (mar-sab) / 07:00-19:00 (dom)
Angelina,Postre,Hot chocolate y Mont-Blanc,€8 - 18,https://www.google.com/maps?q=Angelina+Paris,Francia,París,08:00-19:00 (lun-dom)
Stohrer,Postre,Baba au rhum histórico (desde 1730),€4 - 12,https://www.google.com/maps?q=Stohrer+Paris,Francia,París,07:30-20:00 (lun-sab) / 07:30-19:30 (dom)
Yann Couvreur,Postre,Pasteles de temporada y crujientes,€6 - 14,https://www.google.com/maps?q=Yann+Couvreur+Paris,Francia,París,10:00-19:30 (lun-dom)
Carl Marletti,Postre,Tarta de lirio de los valles y éclairs,€5 - 12,https://www.google.com/maps?q=Carl+Marletti+Paris,Francia,París,10:00-20:00 (mar-sab) / 10:00-19:00 (dom)
Boulangerie Utopie,Postre,Pain perdu y cruasanes premiados,€3 - 9,https://www.google.com/maps?q=Boulangerie+Utopie+Paris,Francia,París,07:00-20:00 (lun-dom)
Du Pain et des Idées,Postre,Chocolatines y escargots pistache,€3 - 8,https://www.google.com/maps?q=Du+Pain+et+des+Idées+Paris,Francia,París,06:45-20:00 (lun-vie) / 07:00-20:00 (sab)
Mori Yoshida,Postre,Opéra cake reinventado,€7 - 16,https://www.google.com/maps?q=Mori+Yoshida+Paris,Francia,París,11:00-19:00 (mier-dom)
Cyril Lignac,Postre,Éclair au caramel beurre salé,€5 - 12,https://www.google.com/maps?q=Cyril+Lignac+Paris,Francia,París,10:00-19:30 (lun-sab)
Sébastien Gaudard,Postre,Tartas frutales clásicas,€6 - 15,https://www.google.com/maps?q=Sébastien+Gaudard+Paris,Francia,París,10:00-19:30 (mier-dom)
Pâtisserie Viennoise,Postre,Strudel de manzana y kugelhopf,€4 - 10,https://www.google.com/maps?q=Pâtisserie+Viennoise+Paris,Francia,París,08:30-19:30 (lun-sab)
Blé Sucré,Postre,Madalenas y financiers excepcionales,€2 - 7,https://www.google.com/maps?q=Blé+Sucré+Paris,Francia,París,07:00-20:00 (lun-dom)
Jacques Genin,Postre,Caramels y chocolates finos,€10 - 40,https://www.google.com/maps?q=Jacques+Genin+Paris,Francia,París,11:00-19:00 (lun-dom)
Pleine Cour,Postre,Tarta de manzana caramelizada y sablée breton,€7 - 14,https://www.google.com/maps?q=Pleine+Cour+Paris,Francia,París,10:00-19:00 (lun-sab)
Claire Damon,Postre,San Honoré de frambuesa,€8 - 16,https://www.google.com/maps?q=Claire+Damon+Paris,Francia,París,10:00-19:30 (lun-sab)
Benoît Castel,Postre,Brioche perdue con helado de vainilla,€9 - 18,https://www.google.com/maps?q=Benoît+Castel+Paris,Francia,París,08:00-20:00 (lun-sab) / 08:00-19:00 (dom)
Pâtisserie du Meurice,Postre,Citron meringué de Cédric Grolet,€12 - 24,https://www.google.com/maps?q=Pâtisserie+du+Meurice+Paris,Francia,París,10:00-19:00 (lun-dom)
Tapisserie,Postre,Millefeuille de pistacho,€7 - 15,https://www.google.com/maps?q=Tapisserie+Paris,Francia,París,10:00-19:00 (lun-sab)
Un Dimanche à Paris,Postre,Chocolate caliente espeso y pralinés,€6 - 20,https://www.google.com/maps?q=Un+Dimanche+à+Paris,Francia,París,11:00-19:30 (lun-dom)
Acide,Postre,Desserts vanguardistas (como la esfera de limón),€9 - 17,https://www.google.com/maps?q=Acide+Paris,Francia,París,12:00-19:00 (mier-dom)
Bontemps,Postre,Sablés de sabores únicos (lavanda/matcha),€4 - 12,https://www.google.com/maps?q=Bontemps+Paris,Francia,París,10:00-19:00 (lun-sab)
The Old Chocolate House,Postre,Fondue de chocolate belga,€15 - 25,https://www.google.com/maps?q=The+Old+Chocolate+House+Bruges,Bélgica,Brujas,10:00-18:00 (lun-dom)
Chez Albert,Postre,Gofres belgas con fresas y crema,€8 - 12,https://www.google.com/maps?q=Chez+Albert+Bruges,Bélgica,Brujas,09:00-18:00 (lun-dom)
Dumon,Postre,Pralines de chocolate artesanales,€10 - 30,https://www.google.com/maps?q=Dumon+Bruges,Bélgica,Brujas,10:00-18:30 (lun-dom)
Maison Elza,Postre,Profiteroles con chocolate caliente,€12 - 18,https://www.google.com/maps?q=Maison+Elza+Ghent,Bélgica,Gante,10:00-18:00 (mier-lun)
